clases;Varianza_aX;Varianza_aY;Varianza_aZ;Varianza_gX;Varianza_gY;Varianza_gZ;Suelo
348;3861036058;0.06574545;2327674684;2898929193;8194878010;1671761271;0
349;0.17693149;0.01964124;1458783123;3128498814;62915505787;923339542;0
350;4084403499;0.02036005;2591783897;3652736276;20986170483;3973829099;0
351;398699115;0.09648001;0.28422525;1308035467;1999343800;3006944926;0
352;2328496786;0.03547956;1956777551;1110935958;19461360895;1055763903;0
353;3460394029;0.00477369;0.00608681;3418970961;14416449123;4403332649;0
354;460759218;9899809768;0.17481541;2863605751;6377562562;5357284383;0
355;1942292768;0.03678705;9942722386;2013428751;28631709656;1257398031;0
356;4725713737;0.00305644;0.00657345;1886433940;10623748507;9402116341;0
357;4415032797;9301125128;0.08576201;1468188201;3043771665;3081651855;0
358;0.38973164;0.03266345;2646819669;1763241887;37518919046;1253932282;0
359;429103105;0.02132604;0.0269114;4207410580;24369456235;7411394614;0
360;4648892244;0.091836;0.231979;1439240167;7997259493;4251234276;0
361;2566736205;0.01605376;2201281735;541648974;11576728805;222583545;0
362;2285138863;9025672529;0.00664264;4470970733;14301435802;6069143484;0
363;2780860792;0.03657356;0.31432736;2922242777;7856568679;3305144801;0
364;389344587;0.03475264;2552584431;811407873.8;6265495138;1293434956;0
365;2929113811;0.01244109;0.0126296;4078396577;19711338594;4364672941;0
366;0.31734224;0.03113836;0.3919684;3029811786;25758523116;2637526051;0
367;5271426257;0.05047929;1102069337;1648633729;10759393932;1163505608;0
368;4477923156;0.01228969;9798728684;1992654276;19279421677;2734381397;0
369;0.0922828;0.01857496;0.24351344;4135688962;49101889631;1025283638;0
370;3672698055;0.02679929;0.01856725;681887517.2;15635148144;407655638.4;0
371;3919012233;0.03469236;9815544957;2375261335;17456027548;1698410240;0
372;0.03266076;0.00714229;0.1785014;2839303954;51384107817;714060800.6;0
373;3098259058;0.01891516;2780794357;475574614.3;9975895381;551417990.7;0
374;3665883688;0.06854616;1095578785;3435910440;15540434597;1672672525;0
375;1101787567;0.01560016;0.29224329;4706901246;65783393635;720124111.6;0
376;3700625669;0.01296421;1757870553;1252311505;11504518668;1795270311;0
377;4052702809;0.10185741;0.06985196;1397339575;8694099964;1742693890;0
378;0.1425816;0.02117756;1542517973;2671165132;46783182058;754720827.7;0
379;3825581693;0.01698705;1617459974;1077677727;9842564782;1520339800;0
380;3869929258;0.04749681;0.02477469;1990276998;9723502616;1179121950;0
381;0.03180049;0.00457605;0.09113056;1227061943;30052507731;2489230843;0
